service_date,day_type,bus,rail_boardings,total_rides
2021-07-27,W,387327,279049,666376
2021-07-28,W,390425,298392,688817
2021-07-29,W,394751,362106,756857
2021-07-30,W,402364,362949,765313
2021-07-31,A,292772,310759,603531
2021-08-01,U,223161,244404,467565
2021-08-02,W,374987,259408,634395
2021-08-03,W,407869,267547,675416
2021-08-04,W,401665,271469,673134
2021-08-05,W,401248,283716,684964
2021-08-06,W,387894,313936,701830
2021-08-07,A,301542,275050,576592
2021-08-08,U,223653,187344,410997
2021-08-09,W,334547,240520,575067
2021-08-10,W,372961,264354,637315
2021-08-11,W,364185,258741,622926
2021-08-12,W,381061,280760,661821
2021-08-13,W,396567,277082,673649
2021-08-14,A,294345,252710,547055
2021-08-15,U,221156,205673,426829
2021-08-16,W,371748,246824,618572
2021-08-17,W,385106,259308,644414
2021-08-18,W,387316,265679,652995
2021-08-19,W,390171,274749,664920
2021-08-20,W,399149,298535,697684
2021-08-21,A,282205,248705,530910
2021-08-22,U,231270,202393,433663
2021-08-23,W,389873,263283,653156
2021-08-24,W,382748,259641,642389
2021-08-25,W,398464,278830,677294
2021-08-26,W,417416,287640,705056
2021-08-27,W,411406,302286,713692
2021-08-28,A,290939,232278,523217
2021-08-29,U,215493,180030,395523
2021-08-30,W,452128,283312,735440
2021-08-31,W,457408,294988,752396
2021-09-01,W,483883,302972,786855
2021-09-02,W,466988,316474,783462
2021-09-03,W,460822,332962,793784
2021-09-04,A,288744,249857,538601
2021-09-05,U,238982,232104,471086
2021-09-06,U,231171,190360,421531
2021-09-07,W,445989,291803,737792
2021-09-08,W,480111,320091,800202
2021-09-09,W,471953,326271,798224
2021-09-10,W,469400,355788,825188
2021-09-11,A,292316,276714,569030
2021-09-12,U,216327,206582,422909
2021-09-13,W,450527,296554,747081
2021-09-14,W,468812,311965,780777
2021-09-15,W,472623,329295,801918
2021-09-16,W,467659,365090,832749
2021-09-17,W,469512,377373,846885
2021-09-18,A,297188,295961,593149
2021-09-19,U,221743,220835,442578
2021-09-20,W,443252,298947,742199
2021-09-21,W,452211,319330,771541
2021-09-22,W,450883,322522,773405
2021-09-23,W,464140,327671,791811
2021-09-24,W,463710,365392,829102
2021-09-25,A,300821,296621,597442
2021-09-26,U,214958,195380,410338
2021-09-27,W,458134,298532,756666
2021-09-28,W,474767,315354,790121
2021-09-29,W,471319,323001,794320
2021-09-30,W,469820,326450,796270
2021-10-01,W,486451,343048,829499
2021-10-02,A,283289,248678,531967
